,time,value
0,2016-01-01,47
1,2016-02-01,51
2,2016-03-01,54
3,2016-04-01,51
4,2016-05-01,47
5,2016-06-01,47
6,2016-07-01,41
7,2016-08-01,37
8,2016-09-01,39
9,2016-10-01,48
10,2016-11-01,55
11,2016-12-01,60
12,2017-01-01,64
13,2017-02-01,68
14,2017-03-01,71
15,2017-04-01,77
16,2017-05-01,77
17,2017-06-01,83
18,2017-07-01,75
19,2017-08-01,79
20,2017-09-01,84
21,2017-10-01,85
22,2017-11-01,92
23,2017-12-01,88
24,2018-01-01,64
25,2018-02-01,68
26,2018-03-01,71
27,2018-04-01,77
28,2018-05-01,77
29,2018-06-01,83
30,2018-07-01,75
31,2018-08-01,79
32,2018-09-01,84
33,2018-10-01,85
34,2018-11-01,92
35,2018-12-01,88
36,2019-01-01,94
37,2019-02-01,90
38,2019-03-01,91
39,2019-04-01,90
40,2019-05-01,88
41,2019-06-01,81
42,2019-07-01,77
43,2019-08-01,84
44,2019-09-01,78
45,2019-10-01,86
46,2019-11-01,85
47,2019-12-01,84
48,2020-01-01,88
49,2020-02-01,84
50,2020-03-01,83
51,2020-04-01,80
52,2020-05-01,63
53,2020-06-01,48
54,2020-07-01,70
55,2020-08-01,37
56,2020-09-01,52
57,2020-10-01,62
58,2020-11-01,83
59,2020-12-01,95
60,2021-01-01,100
61,2021-02-01,84
62,2021-03-01,68
63,2021-04-01,54
64,2021-05-01,80
65,2021-06-01,88
66,2021-07-01,69
67,2021-08-01,67
68,2021-09-01,85
69,2021-10-01,61
70,2021-11-01,86
71,2021-12-01,78
72,2022-01-01,80
73,2022-02-01,78
74,2022-03-01,77
75,2022-04-01,79
76,2022-05-01,77
77,2022-06-01,81
78,2022-07-01,73
79,2022-08-01,58
80,2022-09-01,42
81,2022-10-01,57
82,2022-11-01,78
83,2022-12-01,115
